,"bitmex-XRP/BTC-{'name': 'rsi', 'params': {'rsi_period': 14}}"
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,6.0606060606068075
15,5.360824742268731
16,8.214120904477259
17,11.100542076854774
18,28.1367650737252
19,26.57007319156322
20,25.796632299350918
21,25.796632299350918
22,22.727501284126365
23,33.394816746148514
24,31.52039828175552
25,35.42381194047258
26,34.36892954365958
27,33.300980679547536
28,33.300980679547536
29,33.30098067954754
30,33.30098067954754
31,38.44624547056119
32,35.4972903226335
33,31.58387783652933
34,30.381521032945123
35,23.606844345956425
36,26.140638069030604
37,24.39770593421836
38,21.333974183949945
39,15.943656458719408
40,13.706018383108118
41,15.826386759869399
42,22.017039816103193
43,29.46579485047541
44,28.727041324994563
45,34.06759473936998
46,35.79461084158277
47,35.79461084158277
48,28.796296343313504
49,42.43242148144056
50,39.702973295620666
51,39.702973295620666
52,33.81653846430426
53,42.928887211348226
54,41.18415933831343
55,45.918319288788055
56,51.20539051606109
57,51.20539051606109
58,44.19091257234575
59,47.50960791769213
60,44.650234393881874
61,42.80081703784722
62,47.48574654790518
63,50.74423545462172
64,50.74423545462172
65,48.42121598283918
66,51.972855237439
67,48.384859520752904
68,50.822315816848906
69,39.71394983986174
70,38.084050243159
71,41.933672121299516
72,41.01817847663994
73,36.70344516624512
74,40.73186549309991
75,42.055685571441884
76,42.055685571441884
77,42.055685571441884
78,46.53063410143694
79,49.33955580263394
80,62.960283107916496
81,69.70728503601305
82,69.70728503601303
83,69.70728503601303
84,68.15666441994045
85,70.2917275544392
86,60.15644620833929
87,63.403694319992645
88,68.27632630156674
89,65.58927573595689
90,70.57734257010527
91,60.034111111985155
92,62.70101645159244
93,58.49725291010686
94,59.94333572895301
95,57.77541172131683
96,55.609518865371555
97,46.26957765181954
98,44.65420744093016
99,43.83024927389384
100,44.924670641298626
101,42.26418739481434
102,43.466032557281565
103,45.89197021724852
104,49.39949664172208
105,46.17590979168501
106,47.407882085346635
107,47.40788208534663
108,48.76787296863604
109,59.9274352297454
110,71.35186875180175
111,66.54462368841041
112,64.21501909575382
113,63.026927122813746
114,59.47199053432672
115,54.00471643283261
116,54.89775701034887
117,58.37885752723897
118,54.95310039954396
119,55.88244303592438
120,54.66785862526703
121,47.93579534261753
122,51.17342434593522
123,46.97862169016865
124,48.12350796169663
125,47.029879303912004
126,44.83531886384313
127,44.83531886384312
128,46.2886973866382
129,40.5378362885253
130,40.5378362885253
131,40.5378362885253
132,37.08510535071387
133,35.98487013829677
134,33.82354630580263
135,33.82354630580263
136,36.05082330053573
137,36.05082330053573
138,31.182193418963767
139,33.596579484906975
140,31.23621550155424
141,38.24484459346717
142,38.24484459346718
143,40.58589610463346
144,37.52223235205139
145,37.5222323520514
146,33.166809892906485
147,28.428541875186347
148,37.97166883287598
