,close_dt,long,open_dt,pnl,rt_returns,symbol,duration
0,2019-06-01 09:57:00-04:00,False,2019-06-01 09:39:00-04:00,2.6572505762374945,0.006121351114906844,EOS/BTC,0 days 00:18:00.000000000
1,2019-06-01 11:16:00-04:00,True,2019-06-01 09:57:00-04:00,-8.493652376237737,-0.020080571754022076,EOS/BTC,0 days 01:19:00.000000000
2,2019-06-01 18:26:00-04:00,True,2019-06-01 18:08:00-04:00,-1.376840968269212,-0.003273950917488093,EOS/BTC,0 days 00:18:00.000000000
3,2019-06-01 21:30:00-04:00,False,2019-06-01 18:26:00-04:00,7.937437491633814,0.018221629015305635,EOS/BTC,0 days 03:04:00.000000000
4,2019-06-02 00:40:00-04:00,True,2019-06-01 21:30:00-04:00,2.7416927615413194,0.006292081179785808,EOS/BTC,0 days 03:10:00.000000000
5,2019-06-02 02:26:00-04:00,False,2019-06-02 00:40:00-04:00,-6.71185918490567,-0.015895885624627164,EOS/BTC,0 days 01:46:00.000000000
6,2019-06-02 05:12:00-04:00,True,2019-06-02 04:38:00-04:00,15.424964800000097,0.03663933495101356,EOS/BTC,0 days 00:34:00.000000000
7,2019-06-02 21:50:00-04:00,True,2019-06-02 21:03:00-04:00,1.524112800000104,0.003554557149063685,EOS/BTC,0 days 00:47:00.000000000
8,2019-06-04 02:56:00-04:00,True,2019-06-04 02:25:00-04:00,8.836011650000042,0.021082140213606968,EOS/BTC,0 days 00:31:00.000000000
9,2019-06-04 04:34:00-04:00,True,2019-06-04 04:24:00-04:00,2.598091280165396,0.00646301997465427,EOS/BTC,0 days 00:10:00.000000000
10,2019-06-04 09:02:00-04:00,False,2019-06-04 04:34:00-04:00,1.66453261983472,0.004182675432593939,EOS/BTC,0 days 04:28:00.000000000
11,2019-06-01 09:57:00-04:00,True,2019-06-01 09:39:00-04:00,0.3500425119785834,0.0008201412931946284,XRP/BTC,0 days 00:18:00.000000000
12,2019-06-01 11:16:00-04:00,False,2019-06-01 09:57:00-04:00,4.101856318021485,0.009583059079503069,XRP/BTC,0 days 01:19:00.000000000
13,2019-06-01 18:26:00-04:00,False,2019-06-01 18:08:00-04:00,3.627403054539174,0.008486892625888386,XRP/BTC,0 days 00:18:00.000000000
14,2019-06-01 21:30:00-04:00,True,2019-06-01 18:26:00-04:00,-1.2239645470390794,-0.0028505896145735593,XRP/BTC,0 days 03:04:00.000000000
15,2019-06-02 00:40:00-04:00,False,2019-06-01 21:30:00-04:00,0.8459804470486247,0.001975904493207892,XRP/BTC,0 days 03:10:00.000000000
16,2019-06-02 02:26:00-04:00,True,2019-06-02 00:40:00-04:00,2.303812653211006,0.00541320112537178,XRP/BTC,0 days 01:46:00.000000000
17,2019-06-02 05:12:00-04:00,False,2019-06-02 02:26:00-04:00,-2.210724862759736,-0.005150977537050527,XRP/BTC,0 days 02:46:00.000000000
18,2019-06-02 21:50:00-04:00,False,2019-06-02 21:03:00-04:00,-3.8149343999999505,-0.008779155645067446,XRP/BTC,0 days 00:47:00.000000000
19,2019-06-04 02:56:00-04:00,False,2019-06-04 02:25:00-04:00,-2.7857650150000612,-0.006550690179798669,XRP/BTC,0 days 00:31:00.000000000
20,2019-06-04 04:34:00-04:00,False,2019-06-04 04:24:00-04:00,8.181205507898742,0.020245411329334335,XRP/BTC,0 days 00:10:00.000000000
21,2019-06-04 09:02:00-04:00,True,2019-06-04 04:34:00-04:00,-5.181520407898666,-0.012859553183819513,XRP/BTC,0 days 04:28:00.000000000
