datetime,bitmex-BTC-available-balance,bitmex-BTC-balance,bitmex-BTC-balance-in-USD,bitmex-BTC-price,bitmex-XRP/BTC-fill,bitmex-XRP/BTC-leverage,bitmex-XRP/BTC-position,bitmex-XRP/BTC-position-in-BTC,bitmex-XRP/BTC-position-in-USD,bitmex-XRP/BTC-price,bitmex-total-position-in-BTC,bitmex-total-position-in-USD,fee,total,total-in-USD,returns,equity_curve,drawdown
2019-01-31 09:00:00,29.48982601002654,29.48982601002654,101268.06251843114,3434.0,,1,0,0.0,0.0,8.412e-05,0.0,0.0,0.0,29.48982601002654,101268.06251843114,,,
2019-02-01 09:00:00,29.48982601002654,29.48982601002654,100663.5210852256,3413.5,,1,0,0.0,0.0,8.412e-05,0.0,0.0,0.0,29.48982601002654,100663.5210852256,0.0,1.0,0.0
2019-02-02 09:00:00,29.48982601002654,29.48982601002654,101312.29725744617,3435.5,,1,0,0.0,0.0,8.412e-05,0.0,0.0,0.0,29.48982601002654,101312.29725744617,0.0,1.0,0.0
2019-02-03 09:00:00,29.48982601002654,29.48982601002654,102152.75729873193,3464.0,,1,0,0.0,0.0,8.412e-05,0.0,0.0,0.0,29.48982601002654,102152.75729873193,0.0,1.0,0.0
2019-02-04 09:00:00,29.48982601002654,29.48982601002654,100678.2659982306,3414.0,,1,0,0.0,0.0,8.412e-05,0.0,0.0,0.0,29.48982601002654,100678.2659982306,0.0,1.0,0.0
2019-02-05 09:00:00,29.48982601002654,29.48982601002654,100457.09230315541,3406.5,,1,0,0.0,0.0,8.412e-05,0.0,0.0,0.0,29.48982601002654,100457.09230315541,0.0,1.0,0.0
2019-02-06 09:00:00,29.48982601002654,29.48982601002654,101105.86847537599,3428.5,,1,0,0.0,0.0,8.412e-05,0.0,0.0,0.0,29.48982601002654,101105.86847537599,0.0,1.0,0.0
2019-02-07 09:00:00,29.48982601002654,29.48982601002654,99248.00943674432,3365.5,,1,0,0.0,0.0,8.412e-05,0.0,0.0,0.0,29.48982601002654,99248.00943674432,0.0,1.0,0.0
2019-02-08 09:00:00,29.48982601002654,29.48982601002654,98997.3459156591,3357.0,,1,0,0.0,0.0,8.412e-05,0.0,0.0,0.0,29.48982601002654,98997.3459156591,0.0,1.0,0.0
2019-02-09 09:00:00,29.48982601002654,29.48982601002654,106930.10911235624,3626.0,,1,0,0.0,0.0,8.412e-05,0.0,0.0,0.0,29.48982601002654,106930.10911235624,0.0,1.0,0.0
2019-02-10 09:00:00,29.48982601002654,29.48982601002654,106930.10911235624,3626.0,,1,0,0.0,0.0,8.412e-05,0.0,0.0,0.0,29.48982601002654,106930.10911235624,0.0,1.0,0.0
2019-02-11 09:00:00,29.48982601002654,29.48982601002654,107578.88528457681,3648.0,,1,0,0.0,0.0,8.412e-05,0.0,0.0,0.0,29.48982601002654,107578.88528457681,0.0,1.0,0.0
2019-02-12 09:00:00,29.48982601002654,29.48982601002654,105897.9652020053,3591.0,,1,0,0.0,0.0,8.412e-05,0.0,0.0,0.0,29.48982601002654,105897.9652020053,0.0,1.0,0.0
