datetime,bitmex-XRP/BTC-position-in-USD,bitmex-EOS/BTC-position-in-USD,cash
2019-05-02 03:15:00-04:00,0.0,-797.0184742499999,0.7956225088788712
2019-05-02 03:20:00-04:00,0.0,-797.3805496499999,0.7956225088788712
2019-05-02 03:25:00-04:00,0.0,-797.10958305,0.7956225088788712
2019-05-02 03:30:00-04:00,0.0,-797.35084695,0.7956225088788712
2019-05-02 03:35:00-04:00,0.0,-797.77249875,0.7956225088788712
2019-05-02 03:40:00-04:00,0.0,-798.37612875,0.7956225088788712
2019-05-02 03:45:00-04:00,0.0,0.0,0.9466431895038712
2019-05-02 03:50:00-04:00,0.0,0.0,0.9466431895038712
2019-05-02 03:55:00-04:00,0.0,0.0,0.9466431895038712
2019-05-02 04:00:00-04:00,0.0,0.0,0.9466431895038712
2019-05-02 04:05:00-04:00,0.0,0.0,0.9466431895038712
2019-05-02 04:10:00-04:00,0.0,0.0,0.9466431895038712
2019-05-02 04:15:00-04:00,0.0,0.0,0.9466431895038712
2019-05-02 04:20:00-04:00,0.0,0.0,0.9466431895038712
2019-05-02 04:25:00-04:00,0.0,0.0,0.9466431895038712
2019-05-02 04:30:00-04:00,0.0,0.0,0.9466431895038712
2019-05-02 04:35:00-04:00,0.0,0.0,0.9466431895038712
2019-05-02 04:40:00-04:00,0.0,0.0,0.9466431895038712
2019-05-02 04:45:00-04:00,0.0,0.0,0.9466431895038712
2019-05-02 04:50:00-04:00,0.0,0.0,0.9466431895038712
2019-05-02 04:55:00-04:00,0.0,0.0,0.9466431895038712
2019-05-02 05:00:00-04:00,0.0,0.0,0.9466431895038712
2019-05-02 05:05:00-04:00,0.0,0.0,0.9466431895038712
2019-05-02 05:10:00-04:00,0.0,0.0,0.9466431895038712
2019-05-02 05:15:00-04:00,0.0,0.0,0.9466431895038712
2019-05-02 05:20:00-04:00,0.0,0.0,0.9466431895038712
2019-05-02 05:25:00-04:00,0.0,0.0,0.9466431895038712
2019-05-02 05:30:00-04:00,0.0,0.0,0.9466431895038712
2019-05-02 05:35:00-04:00,0.0,0.0,0.9466431895038712
2019-05-02 05:40:00-04:00,0.0,0.0,0.9466431895038712
2019-05-02 05:45:00-04:00,0.0,0.0,0.9466431895038712
2019-05-02 05:50:00-04:00,0.0,0.0,0.9466431895038712
2019-05-02 05:55:00-04:00,0.0,0.0,0.9466431895038712
2019-05-02 06:00:00-04:00,0.0,0.0,0.9466431895038712
2019-05-02 06:05:00-04:00,0.0,0.0,0.9466431895038712
2019-05-02 06:10:00-04:00,0.0,0.0,0.9466431895038712
2019-05-02 06:15:00-04:00,0.0,0.0,0.9466431895038712
2019-05-02 06:20:00-04:00,0.0,0.0,0.9466431895038712
2019-05-02 06:25:00-04:00,0.0,0.0,0.9466431895038712
2019-05-02 06:30:00-04:00,-798.3757777599999,0.0,0.7965246049438711
2019-05-02 06:35:00-04:00,-798.885248,0.0,0.7965246049438711
2019-05-02 06:40:00-04:00,-798.549578,0.0,0.7965246049438711
2019-05-02 06:45:00-04:00,-798.0915571200001,0.0,0.7965246049438711
2019-05-02 06:50:00-04:00,-797.9334949600001,0.0,0.7965246049438711
2019-05-02 06:55:00-04:00,-797.6493812,0.0,0.7965246049438711
2019-05-02 07:00:00-04:00,-797.86646784,0.0,0.7965246049438711
2019-05-02 07:05:00-04:00,-798.93238208,0.0,0.7965246049438711
2019-05-02 07:10:00-04:00,-799.3899888000001,0.0,0.7965246049438711
2019-05-02 07:15:00-04:00,-799.5247912,0.0,0.7965246049438711
2019-05-02 07:20:00-04:00,-798.21324,0.0,0.7965246049438711
2019-05-02 07:25:00-04:00,-798.3555240000001,0.0,0.7965246049438711
2019-05-02 07:30:00-04:00,-798.070956,0.0,0.7965246049438711
2019-05-02 07:35:00-04:00,-797.43440544,0.0,0.7965246049438711
2019-05-02 07:40:00-04:00,-797.4491816,0.0,0.7965246049438711
2019-05-02 07:45:00-04:00,-797.16448,0.0,0.7965246049438711
2019-05-02 07:50:00-04:00,-796.3635479999999,0.0,0.7965246049438711
2019-05-02 07:55:00-04:00,-795.6979260800001,0.0,0.7965246049438711
2019-05-02 08:00:00-04:00,-795.20387328,0.0,0.7965246049438711
