datetime,bitmex-ADA/BTC-fill,bitmex-ADA/BTC-leverage,bitmex-ADA/BTC-position-in-BTC,bitmex-ADA/BTC-position-in-USD,bitmex-ADA/BTC-price,bitmex-BTC-available-balance,bitmex-BTC-balance,bitmex-BTC-balance-in-USD,bitmex-BTC-price,bitmex-EOS/BTC-fill,bitmex-EOS/BTC-leverage,bitmex-EOS/BTC-position-in-BTC,bitmex-EOS/BTC-position-in-USD,bitmex-EOS/BTC-price,bitmex-TRX/BTC-fill,bitmex-TRX/BTC-leverage,bitmex-TRX/BTC-position-in-BTC,bitmex-TRX/BTC-position-in-USD,bitmex-TRX/BTC-price,bitmex-XRP/BTC-fill,bitmex-XRP/BTC-leverage,bitmex-XRP/BTC-position-in-BTC,bitmex-XRP/BTC-position-in-USD,bitmex-XRP/BTC-price,bitmex-total-position-in-BTC,bitmex-total-position-in-USD,fee,total,total-in-USD,benchmark_equity,btc_benchmark_equity,returns,btc_returns,benchmark_returns,btc_benchmark_returns,equity_curve,btc_equity_curve,benchmark_equity_curve,btc_benchmark_equity_curve,drawdown,btc_drawdown
2019-05-02 17:22:00-04:00,,1,0.1498727,803.0179266,1.27e-05,0.7916136541906457,0.9521229041906462,5101.474520653482,5358.0,,1,0.0,0.0,0.0008728,,1,0.0,0.0,4.2999999999999995e-06,,1,0.0,0.0,5.574e-05,0.1498727,803.0179266,0.0068584786725,0.9521229041906462,5101.474520653482,5119.9235547061635,0.933184023889511,-0.0003731343283581712,0.0,-0.0003731343283581712,0.00037327360955585753,1.0208798797087961,0.9969678929780247,1.0239847109412243,0.9765770810003711,0.0029196344769575333,0.0056841954073373335
2019-05-02 17:23:00-04:00,,1,0.1498727,802.94299025,1.27e-05,0.7916136541906457,0.9521229041906462,5100.998459201387,5357.5,,1,0.0,0.0,0.0008728,,1,0.0,0.0,4.2999999999999995e-06,,1,0.0,0.0,5.574e-05,0.1498727,802.94299025,0.0068584786725,0.9521229041906462,5100.998459201387,5119.445771619685,0.9332711152589828,-9.331840238879785e-05,0.0,-9.331840238890887e-05,9.332711152598705e-05,1.020784612829391,0.9969678929780247,1.0238891543239286,0.9766682221185233,0.0030149013563627314,0.0056841954073373335
2019-05-02 17:24:00-04:00,,1,0.14975469,802.310751675,1.269e-05,0.7916136541906457,0.9521229041906462,5100.998459201387,5357.5,,1,0.0,0.0,0.0008728,,1,0.0,0.0,4.2999999999999995e-06,,1,0.0,0.0,5.5700000000000005e-05,0.14975469,802.310751675,0.0068584786725,0.9521229041906462,5100.998459201387,5119.445771619685,0.9332711152589828,0.0,0.0,0.0,0.0,1.020784612829391,0.9969678929780247,1.0238891543239286,0.9766682221185233,0.0030149013563627314,0.0056841954073373335
2019-05-02 17:25:00-04:00,,1,0.1498727,803.0179266,1.27e-05,0.7916136541906457,0.9521229041906462,5101.474520653482,5358.0,,1,0.0,0.0,0.0008728,,1,0.0,0.0,4.2999999999999995e-06,,1,0.0,0.0,5.568e-05,0.1498727,803.0179266,0.0068584786725,0.9521229041906462,5101.474520653482,5119.9235547061635,0.933184023889511,9.3327111525765e-05,0.0,9.332711152598705e-05,-9.331840238890887e-05,1.0208798797087963,0.9969678929780247,1.0239847109412243,0.9765770810003712,0.0029196344769573113,0.0056841954073373335
2019-05-02 17:26:00-04:00,,1,0.1498727,803.1677993,1.27e-05,0.6414992327506457,0.9520104027506462,5101.823748340713,5359.0,,1,0.0,0.0,0.0008728,,1,0.0,0.0,4.2999999999999995e-06,MarketSell,1,-0.15002885999999999,-804.00466074,5.569e-05,-0.00015615999999998853,-0.836861440000007,0.0069709801125,0.9520104027506462,5101.823748340713,5120.879120879121,0.933009889904833,6.845622492424042e-05,-0.00011815852712371289,0.00018663680477781774,-0.00018660197798092693,1.0209497652914623,0.9968500927202008,1.0241758241758157,0.9763948497854057,0.0028497488942913485,0.005801995665161264
2019-05-02 17:27:00-04:00,,1,0.14975469,802.610261055,1.269e-05,0.6414992327506457,0.9520104027506462,5102.299753542088,5359.5,,1,0.0,0.0,0.0008725,,1,0.0,0.0,4.2999999999999995e-06,,1,-0.15002885999999999,-804.07967517,5.569e-05,-0.00027416999999999025,-1.4694141149999496,0.0069709801125,0.9520104027506462,5102.299753542088,5121.3569039655995,0.9329228472805299,9.330098899051897e-05,0.0,9.330098899051897e-05,-9.329228472809703e-05,1.0210450209142736,0.9968500927202008,1.0242713807931114,0.9763037596790725,0.0027544932714800296,0.005801995665161264
2019-05-02 17:28:00-04:00,,1,0.14975469,802.610261055,1.269e-05,0.6414992327506457,0.9520104027506462,5102.299753542088,5359.5,,1,0.0,0.0,0.0008727,,1,0.0,0.0,4.2999999999999995e-06,,1,-0.14997498,-803.7909053100001,5.567e-05,-0.00022029000000001187,-1.180644255000061,0.0069709801125,0.9520104027506462,5102.299753542088,5121.3569039655995,0.9329228472805299,0.0,0.0,0.0,0.0,1.0210450209142736,0.9968500927202008,1.0242713807931114,0.9763037596790725,0.0027544932714800296,0.005801995665161264
2019-05-02 17:29:00-04:00,,1,0.14951867000000002,801.7191085400001,1.267e-05,0.6414992327506457,0.9520104027506462,5104.679779548965,5362.0,,1,0.0,0.0,0.0008726000000000001,,1,0.0,0.0,4.2999999999999995e-06,,1,-0.15000192,-804.31029504,5.568e-05,-0.00048324999999999063,-2.5911864999999352,0.0069709801125,0.9520104027506462,5104.679779548965,5123.745819397994,0.9324878776575904,0.0004664614236402631,0.0,0.0004664614236402631,-0.0004662439388287698,1.02152129902833,0.9968500927202008,1.0247491638795903,0.9758485639686664,0.0022782151574236575,0.005801995665161264
2019-05-02 17:30:00-04:00,ClosePosition,1,0.0,0.0,1.268e-05,0.7909057637481457,0.9514262237481462,5103.925977296931,5364.5,,1,0.0,0.0,0.0008728,,1,0.0,0.0,4.2999999999999995e-06,,1,-0.15002885999999999,-804.82981947,5.569e-05,-0.15002885999999999,-804.82981947,0.007083119115,0.9514262237481462,5103.925977296931,5126.134734830386,0.9320533134495294,-0.00014766886163042336,-0.0006136267007293972,0.00046624393882854775,-0.0004660266567246829,1.0213704521409712,0.9962383988866831,1.0252269469660686,0.9753937925249305,0.0024290620447824374,0.006413689498678932
2019-05-02 17:31:00-04:00,,1,0.0,0.0,1.267e-05,0.7909057637481457,0.9514262237481462,5104.401690408805,5365.0,,1,0.0,0.0,0.0008727,,1,0.0,0.0,4.2999999999999995e-06,,1,-0.14986722,-804.0376352999999,5.563e-05,-0.14986722,-804.0376352999999,0.007083119115,0.9514262237481462,5104.401690408805,5126.612517916866,0.9319664492078286,9.320533134493658e-05,0.0,9.320533134515863e-05,-9.319664492080104e-05,1.021465649312389,0.9962383988866831,1.0253225035833646,0.9753028890959906,0.0023338648733646217,0.006413689498678932
