datetime,bitmex-BTC/USD-fill,bitmex-BTC/USD-price,cash,fee,total,bitmex-BTC/USD,returns,equity_curve,drawdown
2017-01-01 09:00:00,,998.99,100000.0,0.0,100000.0,0.0,,,
2017-01-02 09:00:00,,1019.3,100000.0,0.0,100000.0,0.0,0.0,1.0,0.0
2017-01-03 09:00:00,,1037.5,100000.0,0.0,100000.0,0.0,0.0,1.0,0.0
2017-01-04 09:00:00,,1139.6,100000.0,0.0,100000.0,0.0,0.0,1.0,0.0
2017-01-05 09:00:00,,1003.2,100000.0,0.0,100000.0,0.0,0.0,1.0,0.0
2017-01-06 09:00:00,,898.5,100000.0,0.0,100000.0,0.0,0.0,1.0,0.0
2017-01-07 09:00:00,,908.0,100000.0,0.0,100000.0,0.0,0.0,1.0,0.0
2017-01-08 09:00:00,,915.9,100000.0,0.0,100000.0,0.0,0.0,1.0,0.0
2017-01-09 09:00:00,,903.0,100000.0,0.0,100000.0,0.0,0.0,1.0,0.0
2017-01-10 09:00:00,,905.76,100000.0,0.0,100000.0,0.0,0.0,1.0,0.0
2017-01-11 09:00:00,,779.54,100000.0,0.0,100000.0,0.0,0.0,1.0,0.0
2017-01-12 09:00:00,,804.58,100000.0,0.0,100000.0,0.0,0.0,1.0,0.0
2017-01-13 09:00:00,,828.12,100000.0,0.0,100000.0,0.0,0.0,1.0,0.0
2017-01-14 09:00:00,,815.3,100000.0,0.0,100000.0,0.0,0.0,1.0,0.0
2017-01-15 09:00:00,,820.74,100000.0,0.0,100000.0,0.0,0.0,1.0,0.0
2017-01-16 09:00:00,,830.1,100000.0,0.0,100000.0,0.0,0.0,1.0,0.0
2017-01-17 09:00:00,,903.99,100000.0,0.0,100000.0,0.0,0.0,1.0,0.0
2017-01-18 09:00:00,,887.46,100000.0,0.0,100000.0,0.0,0.0,1.0,0.0
2017-01-19 09:00:00,,900.29,100000.0,0.0,100000.0,0.0,0.0,1.0,0.0
2017-01-20 09:00:00,,895.74,100000.0,0.0,100000.0,0.0,0.0,1.0,0.0
2017-01-21 09:00:00,,924.02,100000.0,0.0,100000.0,0.0,0.0,1.0,0.0
2017-01-22 09:00:00,,923.72,100000.0,0.0,100000.0,0.0,0.0,1.0,0.0
2017-01-23 09:00:00,,905.99,100000.0,0.0,100000.0,0.0,0.0,1.0,0.0
2017-01-24 09:00:00,,886.1,100000.0,0.0,100000.0,0.0,0.0,1.0,0.0
2017-01-25 09:00:00,,893.35,100000.0,0.0,100000.0,0.0,0.0,1.0,0.0
2017-01-26 09:00:00,,915.12,100000.0,0.0,100000.0,0.0,0.0,1.0,0.0
2017-01-27 09:00:00,,916.7,100000.0,0.0,100000.0,0.0,0.0,1.0,0.0
2017-01-28 09:00:00,,919.43,100000.0,0.0,100000.0,0.0,0.0,1.0,0.0
2017-01-29 09:00:00,,912.55,100000.0,0.0,100000.0,0.0,0.0,1.0,0.0
