time,timestamp,open,high,low,close,volume
2019-03-01 09:00:00,1551398400.0,3798.0,3895.0,3741.0,3788.0,1171406068.0
2019-03-02 09:00:00,1551484800.0,3788.0,3839.0,3784.5,3802.0,565492632.0
2019-03-03 09:00:00,1551571200.0,3802.0,3819.0,3754.0,3808.0,540450028.0
2019-03-04 09:00:00,1551657600.0,3808.0,3816.5,3757.0,3785.5,504059676.0
2019-03-05 09:00:00,1551744000.0,3785.5,3804.5,3669.0,3698.5,1237930792.0
2019-03-06 09:00:00,1551830400.0,3698.5,3880.0,3691.0,3846.5,1424807550.0
2019-03-07 09:00:00,1551916800.0,3846.5,3901.0,3810.5,3849.0,856845523.0
2019-03-08 09:00:00,1552003200.0,3849.0,3889.0,3828.0,3854.0,1037324028.0
2019-03-09 09:00:00,1552089600.0,3854.0,3913.5,3742.5,3840.0,1197247739.0
2019-03-10 09:00:00,1552176000.0,3840.0,3943.0,3831.5,3916.0,1263671482.0
2019-03-11 09:00:00,1552262400.0,3916.0,3916.0,3860.0,3897.5,583852214.0
2019-03-12 09:00:00,1552348800.0,3897.5,3912.5,3806.0,3845.0,943232476.0
2019-03-13 09:00:00,1552435200.0,3845.0,3874.0,3793.5,3857.5,975781570.0
2019-03-14 09:00:00,1552521600.0,3857.5,3872.5,3825.0,3849.5,651939565.0
2019-03-15 09:00:00,1552608000.0,3849.5,3906.0,3750.0,3855.0,835215034.0
2019-03-16 09:00:00,1552694400.0,3855.0,3903.5,3840.5,3897.0,754035503.0
2019-03-17 09:00:00,1552780800.0,3897.0,4038.0,3896.0,3986.0,1344503429.0
2019-03-18 09:00:00,1552867200.0,3986.0,3987.5,3926.0,3962.0,680719566.0
2019-03-19 09:00:00,1552953600.0,3962.0,4014.5,3928.0,3969.0,976963412.0
2019-03-20 09:00:00,1553040000.0,3969.0,4012.0,3945.0,3997.0,869685179.0
2019-03-21 09:00:00,1553126400.0,3997.0,4048.5,3952.5,4029.5,1114612306.0
2019-03-22 09:00:00,1553212800.0,4029.5,4067.5,3914.5,3969.0,1446482112.0
2019-03-23 09:00:00,1553299200.0,3969.0,3999.0,3958.0,3981.0,596252650.0
2019-03-24 09:00:00,1553385600.0,3981.0,3999.0,3952.0,3979.5,575838849.0
2019-03-25 09:00:00,1553472000.0,3979.5,3979.5,3937.0,3966.5,460394105.0
2019-03-26 09:00:00,1553558400.0,3966.5,3972.5,3859.5,3903.5,1049445895.0
2019-03-27 09:00:00,1553644800.0,3903.5,3920.0,3881.5,3915.5,628735149.0
2019-03-28 09:00:00,1553731200.0,3915.5,4041.0,3910.0,4025.5,1339386470.0
2019-03-29 09:00:00,1553817600.0,4025.5,4026.0,3991.0,4009.0,563612950.0
2019-03-30 09:00:00,1553904000.0,4009.0,4097.5,4002.0,4086.0,1564265726.0
2019-03-31 09:00:00,1553990400.0,4086.0,4129.0,4021.0,4088.0,1050240961.0
2019-04-01 09:00:00,1554076800.0,4088.0,4098.0,4074.0,4091.0,404465604.0
2019-04-02 09:00:00,1554163200.0,4091.0,4144.5,4036.5,4132.5,1194734770.0
2019-04-03 09:00:00,1554249600.0,4132.5,5144.5,4128.5,4897.5,4877433560.0
2019-04-04 09:00:00,1554336000.0,4897.5,5348.5,4783.0,4979.0,5191879310.0
2019-04-05 09:00:00,1554422400.0,4979.0,5085.5,4780.0,4910.0,3228374415.0
2019-04-06 09:00:00,1554508800.0,4910.0,5073.5,4885.0,5040.0,1992032192.0
2019-04-07 09:00:00,1554595200.0,5040.0,5245.0,4890.5,5043.0,2185695456.0
