time,open,high,low,close,vol,id,timestamp
1559627580,0.00000425,0.00000425,0.00000425,0.00000425,65000,"0","2019-06-04 05:53:00"
1559627700,0.00000425,0.00000426,0.00000425,0.00000426,10001,"1","2019-06-04 05:55:00"
1559627820,0.00000426,0.00000426,0.00000425,0.00000425,16,"2","2019-06-04 05:57:00"
1559627940,0.00000425,0.00000426,0.00000425,0.00000426,1001,"3","2019-06-04 05:59:00"
1559628000,0.00000426,0.00000426,0.00000425,0.00000425,3004,"4","2019-06-04 06:00:00"
1559628060,0.00000425,0.00000426,0.00000425,0.00000425,126026,"5","2019-06-04 06:01:00"
1559628120,0.00000425,0.00000426,0.00000424,0.00000425,1034002,"6","2019-06-04 06:02:00"
1559628180,0.00000425,0.00000425,0.00000424,0.00000424,14022,"7","2019-06-04 06:03:00"
1559628240,0.00000424,0.00000425,0.00000424,0.00000425,4010,"8","2019-06-04 06:04:00"
1559628300,0.00000425,0.00000425,0.00000424,0.00000425,4016,"9","2019-06-04 06:05:00"
1559628360,0.00000425,0.00000425,0.00000424,0.00000425,2003833,"10","2019-06-04 06:06:00"
1559628420,0.00000425,0.00000425,0.00000424,0.00000424,207009,"11","2019-06-04 06:07:00"
1559628480,0.00000424,0.00000425,0.00000422,0.00000422,2949286,"12","2019-06-04 06:08:00"
1559628540,0.00000422,0.00000423,0.00000422,0.00000422,683247,"13","2019-06-04 06:09:00"
1559628600,0.00000422,0.00000422,0.00000421,0.00000421,566104,"14","2019-06-04 06:10:00"
1559628660,0.00000421,0.00000421,0.00000421,0.00000421,20005,"15","2019-06-04 06:11:00"
1559628720,0.00000421,0.00000421,0.00000421,0.00000421,125000,"16","2019-06-04 06:12:00"
1559628780,0.00000421,0.00000422,0.00000421,0.00000422,301179,"17","2019-06-04 06:13:00"
1559628840,0.00000422,0.00000422,0.00000421,0.00000422,72428,"18","2019-06-04 06:14:00"
1559628900,0.00000422,0.00000422,0.00000422,0.00000422,174038,"19","2019-06-04 06:15:00"
1559628960,0.00000422,0.00000422,0.00000421,0.00000421,317157,"20","2019-06-04 06:16:00"
1559629020,0.00000421,0.00000421,0.0000042,0.00000421,363064,"21","2019-06-04 06:17:00"
1559629080,0.00000421,0.00000421,0.00000421,0.00000421,251300,"22","2019-06-04 06:18:00"
1559629140,0.00000421,0.00000421,0.0000042,0.00000421,1029572,"23","2019-06-04 06:19:00"
1559629200,0.00000421,0.00000421,0.00000421,0.00000421,40368,"24","2019-06-04 06:20:00"
1559629320,0.00000421,0.00000422,0.00000421,0.00000421,36024,"25","2019-06-04 06:22:00"
1559629380,0.00000421,0.00000422,0.00000421,0.00000421,36003,"26","2019-06-04 06:23:00"
1559629440,0.00000421,0.00000422,0.00000421,0.00000422,10500,"27","2019-06-04 06:24:00"
1559629500,0.00000422,0.00000422,0.00000422,0.00000422,10000,"28","2019-06-04 06:25:00"
1559629560,0.00000422,0.00000422,0.00000422,0.00000422,77893,"29","2019-06-04 06:26:00"
1559629680,0.00000422,0.00000422,0.00000421,0.00000422,323000,"30","2019-06-04 06:28:00"
1559629740,0.00000422,0.00000422,0.00000421,0.00000422,145756,"31","2019-06-04 06:29:00"
1559629860,0.00000422,0.00000423,0.00000422,0.00000423,350,"32","2019-06-04 06:31:00"
1559629920,0.00000423,0.00000423,0.00000422,0.00000422,53368,"33","2019-06-04 06:32:00"
1559629980,0.00000422,0.00000422,0.00000421,0.00000421,469181,"34","2019-06-04 06:33:00"
1559630040,0.00000421,0.00000422,0.00000421,0.00000421,326888,"35","2019-06-04 06:34:00"
1559630100,0.00000421,0.00000422,0.00000421,0.00000422,232050,"36","2019-06-04 06:35:00"
1559630160,0.00000422,0.00000422,0.00000421,0.00000421,40368,"37","2019-06-04 06:36:00"
1559630220,0.00000421,0.00000421,0.00000421,0.00000421,10221,"38","2019-06-04 06:37:00"
1559630280,0.00000421,0.00000421,0.00000421,0.00000421,199665,"39","2019-06-04 06:38:00"
1559630340,0.00000421,0.00000421,0.0000042,0.00000421,596496,"40","2019-06-04 06:39:00"
1559630400,0.00000421,0.00000421,0.00000421,0.00000421,19050,"41","2019-06-04 06:40:00"
1559630460,0.00000421,0.00000423,0.00000421,0.00000421,848731,"42","2019-06-04 06:41:00"
1559630520,0.00000421,0.00000422,0.00000421,0.00000421,790356,"43","2019-06-04 06:42:00"
1559630580,0.00000421,0.00000421,0.00000421,0.00000421,27000,"44","2019-06-04 06:43:00"
1559630640,0.00000421,0.00000422,0.00000421,0.00000422,500,"45","2019-06-04 06:44:00"
1559630760,0.00000422,0.00000422,0.0000042,0.00000421,3233657,"46","2019-06-04 06:46:00"
1559630820,0.00000421,0.00000421,0.00000421,0.00000421,47000,"47","2019-06-04 06:47:00"
1559630880,0.00000421,0.00000421,0.0000042,0.0000042,3000,"48","2019-06-04 06:48:00"
1559630940,0.0000042,0.00000421,0.0000042,0.00000421,4100,"49","2019-06-04 06:49:00"
1559631000,0.00000421,0.00000421,0.00000421,0.00000421,87335,"50","2019-06-04 06:50:00"
1559631060,0.00000421,0.00000422,0.00000421,0.00000422,1380377,"51","2019-06-04 06:51:00"
1559631120,0.00000422,0.00000423,0.00000422,0.00000422,175,"52","2019-06-04 06:52:00"
1559631180,0.00000422,0.00000423,0.00000422,0.00000422,788811,"53","2019-06-04 06:53:00"
1559631240,0.00000422,0.00000423,0.00000422,0.00000422,6,"54","2019-06-04 06:54:00"
1559631300,0.00000422,0.00000423,0.00000422,0.00000423,5001,"55","2019-06-04 06:55:00"
1559631360,0.00000423,0.00000423,0.00000422,0.00000423,162405,"56","2019-06-04 06:56:00"
1559631420,0.00000423,0.00000423,0.00000422,0.00000423,162850,"57","2019-06-04 06:57:00"
1559631480,0.00000423,0.00000423,0.00000421,0.00000421,293459,"58","2019-06-04 06:58:00"
1559631660,0.00000421,0.00000421,0.00000421,0.00000421,110000,"59","2019-06-04 07:01:00"
1559631720,0.00000421,0.00000421,0.00000421,0.00000421,80000,"60","2019-06-04 07:02:00"
1559631900,0.00000421,0.00000422,0.00000421,0.00000421,53705,"61","2019-06-04 07:05:00"
1559631960,0.00000421,0.00000421,0.00000421,0.00000421,251803,"62","2019-06-04 07:06:00"
1559632020,0.00000421,0.00000422,0.00000421,0.00000422,200,"63","2019-06-04 07:07:00"
1559632080,0.00000422,0.00000422,0.00000422,0.00000422,77912,"64","2019-06-04 07:08:00"
1559632140,0.00000422,0.00000422,0.00000422,0.00000422,3061,"65","2019-06-04 07:09:00"
1559632320,0.00000422,0.00000422,0.00000422,0.00000422,28500,"66","2019-06-04 07:12:00"
1559632380,0.00000422,0.00000422,0.00000422,0.00000422,5500,"67","2019-06-04 07:13:00"
1559632500,0.00000422,0.00000423,0.00000422,0.00000422,90102,"68","2019-06-04 07:15:00"
1559632560,0.00000422,0.00000423,0.00000422,0.00000423,230000,"69","2019-06-04 07:16:00"
1559632620,0.00000423,0.00000423,0.00000423,0.00000423,2106,"70","2019-06-04 07:17:00"
1559632740,0.00000423,0.00000423,0.00000422,0.00000422,30420,"71","2019-06-04 07:19:00"
1559632800,0.00000422,0.00000423,0.00000422,0.00000423,3037,"72","2019-06-04 07:20:00"
1559632920,0.00000423,0.00000423,0.00000423,0.00000423,90135,"73","2019-06-04 07:22:00"
1559633040,0.00000423,0.00000423,0.00000422,0.00000422,1,"74","2019-06-04 07:24:00"
1559633100,0.00000422,0.00000423,0.00000422,0.00000423,30505,"75","2019-06-04 07:25:00"
1559633160,0.00000423,0.00000423,0.00000422,0.00000423,21606,"76","2019-06-04 07:26:00"
1559633220,0.00000423,0.00000423,0.00000423,0.00000423,3001,"77","2019-06-04 07:27:00"
1559633280,0.00000423,0.00000423,0.00000423,0.00000423,160000,"78","2019-06-04 07:28:00"
1559633340,0.00000423,0.00000423,0.00000422,0.00000423,12349,"79","2019-06-04 07:29:00"
1559633460,0.00000423,0.00000424,0.00000423,0.00000424,25000,"80","2019-06-04 07:31:00"
1559633580,0.00000424,0.00000424,0.00000424,0.00000424,4500,"81","2019-06-04 07:33:00"
1559633640,0.00000424,0.00000424,0.00000424,0.00000424,21978,"82","2019-06-04 07:34:00"
1559633700,0.00000424,0.00000424,0.00000424,0.00000424,34460,"83","2019-06-04 07:35:00"
1559633760,0.00000424,0.00000424,0.00000424,0.00000424,25000,"84","2019-06-04 07:36:00"
1559633820,0.00000424,0.00000424,0.00000424,0.00000424,134549,"85","2019-06-04 07:37:00"
1559633880,0.00000424,0.00000425,0.00000424,0.00000425,312632,"86","2019-06-04 07:38:00"
1559633940,0.00000425,0.00000426,0.00000425,0.00000426,141100,"87","2019-06-04 07:39:00"
1559634000,0.00000426,0.00000426,0.00000425,0.00000425,13000,"88","2019-06-04 07:40:00"
1559634060,0.00000425,0.00000426,0.00000425,0.00000426,115242,"89","2019-06-04 07:41:00"
1559634120,0.00000426,0.00000426,0.00000425,0.00000425,1000,"90","2019-06-04 07:42:00"
