time,open,high,low,close,vol,id,timestamp
1553472000,3991.35,3992.2,3990.38,3991.56,18.373482,"0","2019-03-25 00:00:00"
1553472060,3992.19,3993.59,3990.78,3991.46,6.404253,"1","2019-03-25 00:01:00"
1553472120,3992.8,3993.67,3991.31,3992.09,13.566196,"2","2019-03-25 00:02:00"
1553472180,3992.87,3993.51,3991.4,3991.4,7.408757,"3","2019-03-25 00:03:00"
1553472240,3991.41,3992.78,3991.4,3992.66,6.245027,"4","2019-03-25 00:04:00"
1553472300,3991.78,3992.64,3990.74,3991.87,4.270104,"5","2019-03-25 00:05:00"
1553472360,3991.86,3991.86,3989.03,3990.87,17.020183,"6","2019-03-25 00:06:00"
1553472420,3989.21,3990.88,3989.21,3989.44,6.214938,"7","2019-03-25 00:07:00"
1553472480,3989.93,3989.96,3988.37,3989.26,7.163403,"8","2019-03-25 00:08:00"
1553472540,3989.26,3990.37,3988.49,3990.08,3.844427,"9","2019-03-25 00:09:00"
1553472600,3990.08,3990.37,3988.06,3988.06,9.478155,"10","2019-03-25 00:10:00"
1553472660,3988.98,3989.33,3988.08,3989.31,3.82701,"11","2019-03-25 00:11:00"
1553472720,3988.34,3989.31,3987.01,3988,4.626307,"12","2019-03-25 00:12:00"
1553472780,3987.2,3988,3986.7,3986.92,9.924859,"13","2019-03-25 00:13:00"
1553472840,3986.94,3988.92,3986.82,3988.04,6.666668,"14","2019-03-25 00:14:00"
1553472900,3988.03,3989.31,3987.98,3988.47,4.211228,"15","2019-03-25 00:15:00"
1553472960,3988.07,3989.39,3988,3988.1,7.284137,"16","2019-03-25 00:16:00"
1553473020,3988.07,3988.1,3986.25,3988.09,10.393901,"17","2019-03-25 00:17:00"
1553473080,3987.69,3988.1,3987,3988.09,8.291938,"18","2019-03-25 00:18:00"
1553473140,3988.03,3988.89,3987.1,3988.71,6.878839,"19","2019-03-25 00:19:00"
1553473200,3988.71,3988.79,3987.4,3988.4,3.855597,"20","2019-03-25 00:20:00"
1553473260,3988.4,3990.12,3987.55,3988.32,12.542183,"21","2019-03-25 00:21:00"
1553473320,3988.31,3990.1,3986.91,3988.95,4.871926,"22","2019-03-25 00:22:00"
1553473380,3989.99,3989.99,3988.12,3989.12,6.918388,"23","2019-03-25 00:23:00"
1553473440,3988.12,3989.97,3988.12,3988.81,6.956874,"24","2019-03-25 00:24:00"
1553473500,3988.81,3989.14,3987.83,3988.31,4.497555,"25","2019-03-25 00:25:00"
1553473560,3988.14,3989.06,3988.13,3988.97,7.450459,"26","2019-03-25 00:26:00"
1553473620,3988.13,3989.8,3988.13,3989.77,6.601965,"27","2019-03-25 00:27:00"
1553473680,3988.28,3990,3988.22,3989.04,4.695234,"28","2019-03-25 00:28:00"
1553473740,3989.05,3989.05,3988.13,3988.97,5.974425,"29","2019-03-25 00:29:00"
1553473800,3988.97,3989.76,3988.13,3989.75,8.230648,"30","2019-03-25 00:30:00"
1553473860,3989.75,3989.99,3988.34,3989.92,8.453006,"31","2019-03-25 00:31:00"
1553473920,3989.98,3990,3988.13,3988.94,5.940432,"32","2019-03-25 00:32:00"
1553473980,3988.66,3989.89,3988.25,3988.63,5.910528,"33","2019-03-25 00:33:00"
1553474040,3988.63,3989.63,3986.35,3986.41,10.726334,"34","2019-03-25 00:34:00"
1553474100,3986.41,3987.35,3985.77,3986.78,29.497274,"35","2019-03-25 00:35:00"
1553474160,3986.76,3987.08,3985.01,3986.87,10.378869,"36","2019-03-25 00:36:00"
1553474220,3986.72,3987.95,3985.61,3987.58,8.900662,"37","2019-03-25 00:37:00"
1553474280,3987.58,3987.58,3980.75,3984.16,29.847329,"38","2019-03-25 00:38:00"
1553474340,3984.16,3984.16,3981.87,3982.86,9.297612,"39","2019-03-25 00:39:00"
1553474400,3982.86,3984.16,3981.58,3983.19,9.092957,"40","2019-03-25 00:40:00"
1553474460,3984.14,3988.28,3983.43,3986.7,17.302455,"41","2019-03-25 00:41:00"
1553474520,3988.02,3988.83,3986.19,3987.39,17.362385,"42","2019-03-25 00:42:00"
1553474580,3987.65,3988.88,3986.91,3988.66,4.440909,"43","2019-03-25 00:43:00"
1553474640,3988.62,3988.87,3984.53,3987.12,17.666208,"44","2019-03-25 00:44:00"
1553474700,3986.04,3987.1,3985.04,3985.89,7.625079,"45","2019-03-25 00:45:00"
1553474760,3985.91,3988.12,3985.91,3987.86,9.110161,"46","2019-03-25 00:46:00"
1553474820,3987.86,3988,3985.04,3987.11,11.800517,"47","2019-03-25 00:47:00"
1553474880,3986.64,3987.18,3985.03,3986.36,6.962059,"48","2019-03-25 00:48:00"
1553474940,3985.66,3986.36,3984.51,3985.59,11.561084,"49","2019-03-25 00:49:00"
1553475000,3985.68,3987.63,3984.93,3986.22,8.786067,"50","2019-03-25 00:50:00"
