Timestamp,Open,High,Low,Close,Volume
1364688000000,92.5,93.74999,91.0,93.033,3083.0797907500005
1364774400000,93.25,105.9,92.49999,103.999,5224.401312970002
1364860800000,104.0,118.3867,99.0,118.22935407,8376.527478110022
1364947200000,117.95826131,146.88,101.51088,134.7,12996.245072180118
1365033600000,134.71656,143.0,119.0,132.899,6981.668305440006
1365120000000,130.10001,145.0,128.25,142.3,5234.882203250009
1365206400000,142.8,144.0,139.0,143.05,2009.1286249399996
1365292800000,143.5,164.75,142.75,162.304,3725.0676449599982
1365379200000,163.9,194.57,163.2,186.985,10895.82741442002
1365465600000,186.8,249.97,186.8,232.99,6073.37314608
1365552000000,228.669,290.0,19.9,162.0,16070.64274427014
1365638400000,162.0,205.0,1.06,100.0,16914.656315080098
1365724800000,109.0,157.0,51.0,112.0,38693.955304319585
1365811200000,112.0,130.0,81.12,91.1,23866.677045599972
1365897600000,91.1,109.0,20.0,90.171,16437.219664500037
1365984000000,89.86,104.0,71.497,83.302,16393.128563980034
1366070400000,84.27,84.48,0.01,67.588,26092.54322960003
1366156800000,68.135,98.9,63.5,93.063,20016.46738673
1366243200000,93.0,114.0,87.0,111.3,8362.10465509001
1366329600000,110.0,142.0,104.56,119.0,20883.25110548993
1366416000000,119.02,132.0,114.9,127.0,6502.719276970041
1366502400000,127.01,130.0,110.0,117.618,11539.056190050027
1366588800000,119.96,127.3,119.615,126.5,7053.397116680003
1366675200000,127.389,144.47,124.859,143.484,11566.577971560031
1366761600000,142.41,166.99,140.9,154.6,25884.625254149956
1366848000000,155.0,169.13,120.03,141.9,21589.721007850003
1366934400000,142.89,143.985,13.0,137.3,13279.17946705005
1367020800000,136.56001,147.51,121.46,128.5,7773.997322830005
1367107200000,128.8,136.99,128.02,135.28,7222.090082880017
1367193600000,134.63,148.5,113.42,144.0,9491.692087410025
1367280000000,143.89,146.6752,133.89,139.88,10916.45401098006
1367366400000,139.87,140.02,105.0,116.0,23869.06259774011
1367452800000,116.75,127.18,90.414,106.6,29911.742035789932
1367539200000,107.0,108.21,80.0,98.06,32551.051529309825
1367625600000,98.5,115.959,93.356,112.5,15470.54031853008
1367712000000,112.3,126.0,100.0,116.57,13363.780708440054
1367798400000,116.587,124.3,106.0,112.0,12263.030821200064
1367884800000,112.1,113.44,98.0,110.0,15053.73044354
1367971200000,109.76,116.98,108.5,113.5,8804.37823946003
1368057600000,113.495,113.5,108.23,112.669,3991.5678668900005
1368144000000,112.653,122.5,111.4,117.87,7579.663836880023
1368230400000,117.92,118.9,112.72,115.576,3841.9370868099954
1368316800000,115.58,118.0,113.0,114.3,2745.733407739998
1368403200000,115.97,118.97,114.07,117.979,2590.846160009995
1368489600000,117.811,119.85,105.2,111.551,9787.138031739994
1368576000000,110.7,117.0,103.45,108.95,9324.260079410044
1368662400000,108.98,115.2,108.2,115.0,4796.423981250004
1368748800000,115.0,122.0,112.35,117.62,5107.836759599999
1368835200000,117.51,118.98,115.81001,118.52,2168.448581220001
1368921600000,118.23,120.99,115.61,118.25,1327.4523954500003
1369008000000,118.23,118.94,116.0,118.09,881.0578576200011
1369094400000,116.9,118.6,116.9,117.0,1897.5483926199995
1369180800000,117.9,120.0,117.0,119.11,2360.3498401400007
1369267200000,118.45,124.25,118.41,123.83,4024.6573301499957
1369353600000,123.84,130.0,122.4,128.7,7965.536714460045
1369440000000,128.61,129.73,125.1,128.97,2715.8056130399978
1369526400000,128.97,133.0,128.0,130.24,2883.2301361299924
1369612800000,130.27,130.59,123.0,126.25,3535.3153651699963
1369699200000,125.0,127.0,123.0,125.5,2584.017188629992
1369785600000,126.06,140.68,125.67,130.35,3558.6165625200006
1369872000000,130.35,131.0,124.15,126.7,4729.102657070001
1369958400000,126.78,129.1,125.06,127.9,2267.478706539997
1370044800000,127.73,129.0,127.0,128.77,815.1117393199993
1370131200000,128.77,132.65,117.0,123.8,11892.971611849993
1370217600000,123.41,132.87,117.0,123.1,4750.35164634001
1370304000000,123.22,123.99,116.42,120.43,5195.531711939987
1370390400000,120.3,122.37,119.6,121.19,1435.8722807399988
1370476800000,121.33,121.33,118.0,119.28,1260.7073753199975
1370563200000,118.4,119.0,107.0,111.07,9638.209809370004
1370649600000,110.17,112.5,108.45,109.13,1943.2223178199815
1370736000000,108.99,110.0,89.9,100.0,15769.872015019937
1370822400000,100.0,108.0,93.0,104.18,9456.966566149988
1370908800000,104.68,108.03,103.4,107.36,3419.508262049998
1370995200000,107.07,119.0,105.0,106.68,4657.073810879999
1371081600000,106.28,109.14,95.0,102.0,5813.817440850006
1371168000000,101.86,107.36,97.0,99.0,5295.678983599991
1371254400000,99.01,104.0,96.22,99.42,2397.848889410002
1371340800000,99.43,101.1,98.66,99.0,1192.2101715700005
