Start Date,End Date,Instrument(s),ols_window,zscore_exit,zscore_entry,Total USD Return,Total BTC Return,Sharpe Ratio,BTC Sharpe Ratio,Max Drawdown,BTC Max Drawdown,Drawdown Duration,BTC Drawdown Duration,Avg. winning trade,Median duration,Avg. losing trade,Median returns winning,Largest losing trade,Gross loss,Largest winning trade,Avg duration,Avg returns losing,Median returns losing,Profit factor,Winning round trips,Percent profitable,Total profit,Shortest duration,Median returns all round trips,Losing round trips,Longest duration,Avg returns all round trips,Gross profit,Avg returns winning,Total number of round trips,Ratio Avg. Win:Avg. Loss,Avg. trade net profit,Even round trips
1/3/2019,5/3/2019,bitmex:XRP/BTC.EOS/BTC,200,0.5,4.0,-2.74%,-0.17%,-0.21,-0.24,4.51%,0.17%,4153,3804,1.2899182864460799,0 days 02:28:00,-1.5916338481568837,0.005081382946911289,-0.046575783056925446,-15.916338481568836,0.013243069237103942,0 days 02:18:53.333333,-0.008476359633076334,-0.0017463852270358194,0.6483492609508443,8.0,0.4444444444444444,-5.5969921900001935,0 days 00:24:00,-0.0002912458787496533,10.0,0 days 04:20:00,-0.0017007297879074257,10.319346291568639,0.006768807518553707,18.0,0.8104365761885554,-0.3109440105555666,0.0
1/3/2019,5/3/2019,bitmex:XRP/BTC.EOS/BTC,200,0.5,4.5,-2.73%,-0.16%,-0.21,-0.23,4.50%,0.17%,4153,3804,1.205052443507629,0 days 02:27:00,-1.770916284618758,0.0041685640689764075,-0.046575783056925446,-15.938246561568823,0.013243069237103942,0 days 02:18:46.666666,-0.009433205046610072,-0.002226643004825242,0.6804683281610074,9.0,0.5,-5.092774570000161,0 days 00:24:00,0.0012759387320862288,9.0,0 days 04:20:00,-0.0015558460666323807,10.845471991568662,0.006321512913345311,18.0,0.6804683281610074,-0.2829319205555645,0.0
1/3/2019,5/3/2019,bitmex:XRP/BTC.EOS/BTC,200,0.5,5.0,-2.34%,0.24%,-0.18,0.41,4.24%,0.02%,3888,1380,2.0336942700691,0 days 02:02:30,-0.5618557936602722,0.008208890416756147,-0.006544612811671862,-3.932990555621905,0.028746810130496646,0 days 02:02:45,-0.002943241479059582,-0.0028524280354207724,4.653773806921257,9.0,0.5625,14.370257875,0 days 00:24:00,0.00147880046910164,7.0,0 days 03:27:00,0.004746141272835823,18.303248430621903,0.010726772302087803,16.0,3.6196018498276437,0.8981411171874998,0.0
1/3/2019,5/3/2019,bitmex:XRP/BTC.EOS/BTC,200,1.0,4.0,-2.62%,-0.05%,-0.20,-0.10,4.38%,0.08%,4153,3804,0.9282996134059682,0 days 01:23:30,-1.3201157544839428,0.005059809038666485,-0.025853029832021347,-10.560926035871542,0.014023030563106645,0 days 01:38:36,-0.007007248541753725,-0.004484229817016786,1.0547934265456032,12.0,0.6,0.578669325000075,0 days 00:02:00,0.001707860121676601,8.0,0 days 04:30:00,0.0001217398027702583,11.139595360871619,0.004874398699119581,20.0,0.7031956176970688,0.028933466250003724,0.0
1/3/2019,5/3/2019,bitmex:XRP/BTC.EOS/BTC,200,1.0,4.5,-2.61%,-0.04%,-0.20,-0.08,4.37%,0.08%,4153,3804,0.9914728050726375,0 days 01:23:00,-1.3536578894839433,0.005879666648175571,-0.025853029832021347,-10.829263115871546,0.014023030563106645,0 days 01:38:30,-0.007181819684026265,-0.005182514386106948,1.0986595794716838,12.0,0.6,1.0684105450001025,0 days 00:02:00,0.001707860121676601,8.0,0 days 04:30:00,0.00025157139018887,11.89767366087165,0.005207165439665627,20.0,0.7324397196477892,0.05342052725000512,0.0
1/3/2019,5/3/2019,bitmex:XRP/BTC.EOS/BTC,200,1.0,5.0,-2.37%,0.21%,-0.18,0.45,4.25%,0.01%,3888,1319,1.6205792754806851,0 days 01:14:30,-0.9950270220574705,0.005689281957781327,-0.010122129922739294,-4.9751351102873524,0.02969193830205672,0 days 01:20:07.500000,-0.005211061024126959,-0.005330104901849966,3.583093048754997,11.0,0.6875,12.851236920000183,0 days 00:02:00,0.001800642356967743,5.0,0 days 04:30:00,0.004234364468633577,17.826372030287537,0.00852773969261564,16.0,1.6286786585249984,0.8032023075000115,0.0
1/3/2019,5/3/2019,bitmex:XRP/BTC.EOS/BTC,200,1.5,4.0,-2.63%,-0.05%,-0.20,-0.11,4.38%,0.08%,4153,3804,0.9078877103732275,0 days 00:53:30,-1.6475637435502843,0.004049713123518088,-0.025457772624745793,-11.53294620485199,0.013559987882077691,0 days 01:20:30,-0.00876111841721046,-0.004542984221039064,1.023375989553003,13.0,0.65,0.2695940299999662,0 days 00:02:00,0.0019435584507321415,7.0,0 days 04:24:00,4.388071454767451e-05,11.802540234851957,0.004785034093186671,20.0,0.5510486097593094,0.013479701499998265,0.0
1/3/2019,5/3/2019,bitmex:XRP/BTC.EOS/BTC,200,1.5,4.5,-2.62%,-0.04%,-0.20,-0.09,4.38%,0.08%,4153,3804,0.8872463965270737,0 days 00:53:30,-1.535775500693137,0.004049713123518088,-0.025457772624745793,-10.750428504851959,0.013559987882077691,0 days 01:20:24,-0.008186782421594343,-0.004542984221039064,1.0729063636529708,13.0,0.65,0.7837746499999976,0 days 00:02:00,0.00172485522308068,7.0,0 days 04:24:00,0.00017453450476454026,11.534203154851959,0.004676782080496247,20.0,0.5777188111977535,0.0391887324999999,0.0
1/3/2019,5/3/2019,bitmex:XRP/BTC.EOS/BTC,200,1.5,5.0,-2.38%,0.21%,-0.18,0.44,4.26%,0.01%,4153,1277,1.1835907970420327,0 days 00:47:00,-0.9506589871821459,0.003784113330620383,-0.009719249194501598,-2.8519769615464376,0.029237470485490958,0 days 00:59:00,-0.004932943609551558,-0.004496250896637923,5.39509279668348,13.0,0.8125,12.534703399999987,0 days 00:02:00,0.0025641313945660724,3.0,0 days 03:52:00,0.00413282468898514,15.386680361546425,0.006224925065570531,16.0,1.2450214146192646,0.7834189624999992,0.0
1/3/2019,5/3/2019,bitmex:XRP/BTC.EOS/BTC,300,0.5,4.0,-2.67%,-0.10%,-0.20,-0.11,4.45%,0.19%,4153,738,1.4770926691189028,0 days 02:31:00,-2.5728273293648476,0.004513008454396094,-0.05324792044687503,-15.436963976189086,0.023393967946176923,0 days 03:06:00,-0.013676385059135187,-0.007797420547945785,0.9568543862622603,10.0,0.625,-0.6660372850000567,0 days 00:24:00,0.00256115300865673,6.0,0 days 06:04:00,-0.00030290925048282336,14.770926691189029,0.007721176234708594,16.0,0.5741126317573562,-0.04162733031250354,0.0
