datetime,bitmex-BTC/USD,bitmex-BTC/USD-in-BTC,bitmex-BTC/USD-in-USD,bitmex-BTC/USD-leverage,bitmex-BTC/USD-price,bitmex-ETH/BTC,bitmex-ETH/BTC-in-BTC,bitmex-ETH/BTC-in-USD,bitmex-ETH/BTC-leverage,bitmex-ETH/BTC-price,bitmex-LTC/BTC,bitmex-LTC/BTC-in-BTC,bitmex-LTC/BTC-in-USD,bitmex-LTC/BTC-leverage,bitmex-LTC/BTC-price,bitmex-TRX/BTC,bitmex-TRX/BTC-in-BTC,bitmex-TRX/BTC-in-USD,bitmex-TRX/BTC-leverage,bitmex-TRX/BTC-price,bitmex-XRP/BTC,bitmex-XRP/BTC-in-BTC,bitmex-XRP/BTC-in-USD,bitmex-XRP/BTC-leverage,bitmex-XRP/BTC-price,total,total-USD
2019-06-05 14:31:00,0,0.0,0.0,1,7840.0,0,0.0,0.0,1,0.03149,0,0.0,0.0,1,0.0139,0,0.0,0.0,1,4.19e-06,0,0.0,0.0,1,5.215e-05,0.0,0.0
2019-06-05 14:31:10,0,0.0,0.0,1,7840.0,0,0.0,0.0,1,0.03149,0,0.0,0.0,1,0.0139,0,0.0,0.0,1,4.19e-06,0,0.0,0.0,1,5.215e-05,0.0,0.0
2019-06-05 14:31:20,0,0.0,0.0,1,7810.0,0,0.0,0.0,1,0.03149,0,0.0,0.0,1,0.0139,0,0.0,0.0,1,4.19e-06,0,0.0,0.0,1,5.215e-05,0.0,0.0
2019-06-05 14:31:30,0,0.0,0.0,1,7810.0,0,0.0,0.0,1,0.03149,0,0.0,0.0,1,0.0139,0,0.0,0.0,1,4.19e-06,0,0.0,0.0,1,5.215e-05,0.0,0.0
2019-06-05 14:31:40,0,0.0,0.0,1,7810.0,0,0.0,0.0,1,0.03149,0,0.0,0.0,1,0.0139,0,0.0,0.0,1,4.19e-06,0,0.0,0.0,1,5.215e-05,0.0,0.0
2019-06-05 14:31:50,0,0.0,0.0,1,7810.0,0,0.0,0.0,1,0.03149,0,0.0,0.0,1,0.0139,0,0.0,0.0,1,4.19e-06,0,0.0,0.0,1,5.215e-05,0.0,0.0
2019-06-05 14:32:00,0,0.0,0.0,1,7810.0,0,0.0,0.0,1,0.03149,0,0.0,0.0,1,0.0139,0,0.0,0.0,1,4.19e-06,0,0.0,0.0,1,5.215e-05,0.0,0.0
2019-06-05 14:32:10,0,0.0,0.0,1,7810.0,0,0.0,0.0,1,0.03149,0,0.0,0.0,1,0.0139,0,0.0,0.0,1,4.19e-06,0,0.0,0.0,1,5.215e-05,0.0,0.0
2019-06-05 14:32:30,0,0.0,0.0,1,7810.0,0,0.0,0.0,1,0.03149,0,0.0,0.0,1,0.0139,0,0.0,0.0,1,4.19e-06,0,0.0,0.0,1,5.215e-05,0.0,0.0
2019-06-05 14:32:40,0,0.0,0.0,1,7810.0,0,0.0,0.0,1,0.03149,0,0.0,0.0,1,0.0139,0,0.0,0.0,1,4.19e-06,0,0.0,0.0,1,5.215e-05,0.0,0.0
2019-06-06 10:39:00,0,0.0,0.0,1,7893.5,0,0.0,0.0,1,0.03188,0,0.0,0.0,1,0.0139,0,0.0,0.0,1,3.72e-06,0,0.0,0.0,1,0.0,0.0,0.0
2019-06-06 10:40:10,0,0.0,0.0,1,7893.5,0,0.0,0.0,1,0.03188,0,0.0,0.0,1,0.0139,0,0.0,0.0,1,3.72e-06,0,0.0,0.0,1,0.0,0.0,0.0
2019-06-06 10:40:20,0,0.0,0.0,1,7893.5,0,0.0,0.0,1,0.03188,0,0.0,0.0,1,0.0139,0,0.0,0.0,1,3.72e-06,0,0.0,0.0,1,0.0,0.0,0.0
2019-06-06 10:40:30,0,0.0,0.0,1,7893.5,0,0.0,0.0,1,0.03188,0,0.0,0.0,1,0.0139,0,0.0,0.0,1,3.72e-06,0,0.0,0.0,1,0.0,0.0,0.0
2019-06-06 10:40:40,0,0.0,0.0,1,7826.5,0,0.0,0.0,1,0.03188,0,0.0,0.0,1,0.01351,0,0.0,0.0,1,4.38e-06,0,0.0,0.0,1,0.0,0.0,0.0
