datetime,bitmex-BTC/USD-fill,bitmex-BTC/USD-price,bitmex-ETH/USD-fill,bitmex-ETH/USD-price,cash,commission,total,bitmex-BTC/USD,bitmex-ETH/USD,returns,equity_curve,drawdown
2019-03-26 00:00:00,,3958.5,,136.88,100000.0,0.0,100000.0,0.0,0.0,,,
2019-03-26 00:01:00,,3958.5,,136.85,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:02:00,,3958.5,,136.85,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:03:00,,3958.0,,136.89,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:04:00,,3958.5,,136.95,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:05:00,,3958.5,,137.01,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:06:00,,3958.0,,137.01,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:07:00,,3958.5,,137.0,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:08:00,,3958.5,,137.0,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:09:00,,3958.5,,137.0,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:10:00,,3958.5,,136.99328027,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:11:00,,3958.5,,136.99,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:12:00,,3958.5,,137.03,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:13:00,,3958.0,,137.0,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:14:00,,3958.5,,137.0,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:15:00,,3958.5,,137.0,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:16:00,,3959.0,,137.0,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:17:00,,3959.5,,137.0,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:18:00,,3959.0,,137.0,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:19:00,,3959.5,,137.0,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:20:00,,3959.5,,136.99,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:21:00,,3959.5,,136.99,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:22:00,,3959.5,,136.97,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:23:00,,3959.5,,136.97,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:24:00,,3959.5,,136.95,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:25:00,,3959.5,,136.95,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:26:00,,3956.5,,136.94,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:27:00,,3954.5,,136.29,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:28:00,,3954.5,,136.67,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:29:00,,3955.5,,136.54,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:30:00,,3955.0,,136.44,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:31:00,,3955.5,,136.45,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:32:00,,3955.0,,136.45,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:33:00,,3955.0,,136.44,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:34:00,,3955.5,,136.43,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:35:00,,3957.0,,136.36,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:36:00,,3956.5,,136.27,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:37:00,,3955.0,,136.27,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:38:00,,3955.5,,136.35,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:39:00,,3955.0,,136.38,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:40:00,,3955.0,,136.3,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:41:00,,3955.5,,136.5,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:42:00,,3955.5,,136.65,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:43:00,,3955.0,,136.65,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:44:00,,3955.5,,136.53749512,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:45:00,,3955.0,,136.54,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:46:00,,3955.0,,136.35,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:47:00,,3955.0,,136.35,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:48:00,,3952.0,,136.19,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
2019-03-26 00:49:00,,3951.0,,136.19,100000.0,0.0,100000.0,0.0,0.0,0.0,1.0,0.0
