datetime,amount,price,symbol,txn_dollars
2019-05-06 05:55:00-04:00,-2870,0.29684133,XRP/BTC,-851.9346171000001
2019-05-06 06:00:00-04:00,-13170,0.06451296,ADA/BTC,-849.6356831999999
2019-05-06 06:00:00-04:00,2,4.6892256,EOS/BTC,9.3784512
2019-05-06 06:55:00-04:00,13170,0.06383752,ADA/BTC,842.9604028499999
2019-05-06 06:55:00-04:00,-181,4.69396835,EOS/BTC,-842.08151305
2019-05-06 14:20:00-04:00,0,4.672003800000001,EOS/BTC,0.0
2019-05-06 14:20:00-04:00,2870,0.29399658,XRP/BTC,843.60879015
2019-05-06 15:05:00-04:00,-13044,0.0646875,ADA/BTC,-843.7837499999999
2019-05-06 15:05:00-04:00,180,4.6794375,EOS/BTC,842.2987499999999
2019-05-06 15:45:00-04:00,124,0.06528303,ADA/BTC,8.095095720000002
2019-05-06 15:45:00-04:00,2853,0.29560111,XRP/BTC,843.34996683
2019-05-06 17:35:00-04:00,12920,0.06425946,ADA/BTC,843.3067464000002
2019-05-06 17:35:00-04:00,-2853,0.29521122,XRP/BTC,-843.1999846200001
2019-05-06 17:35:00-04:00,0,0.06425946,ADA/BTC,0.0
2019-05-06 17:35:00-04:00,-180,4.6893102,EOS/BTC,-841.849524
2019-05-06 21:05:00-04:00,-177,4.800382600000001,EOS/BTC,-849.6677202000001
2019-05-06 21:05:00-04:00,2841,0.29891953,XRP/BTC,849.23038473
2019-05-07 04:05:00-04:00,177,4.88390155,EOS/BTC,855.0686274000001
2019-05-07 04:05:00-04:00,-2841,0.30138956,XRP/BTC,-854.62851201
2019-05-07 06:15:00-04:00,-174,4.98196325,EOS/BTC,-866.8616055
2019-05-07 06:15:00-04:00,2864,0.30209102,XRP/BTC,865.18868128
2019-05-07 08:40:00-04:00,174,4.940032,EOS/BTC,884.666112
2019-05-07 08:40:00-04:00,-2864,0.30211328,XRP/BTC,-882.95882752
2019-05-07 14:20:00-04:00,13392,0.06601839999999999,ADA/BTC,884.1184127999999
2019-05-07 14:20:00-04:00,-180,4.92249695,EOS/BTC,-886.0494510000001
2019-05-07 18:55:00-04:00,-13392,0.06607836,ADA/BTC,-888.0931583999999
2019-05-07 18:55:00-04:00,180,4.9037722,EOS/BTC,890.0328780000001
2019-05-08 05:05:00-04:00,13723,0.062306465000000005,ADA/BTC,855.0316191950001
2019-05-08 05:05:00-04:00,-2930,0.2918656,XRP/BTC,-855.166208
2019-05-08 05:10:00-04:00,140,0.061895809999999996,ADA/BTC,8.665413399999998
2019-05-08 05:10:00-04:00,-182,4.731425550000001,EOS/BTC,-861.1194501000001
2019-05-08 07:45:00-04:00,-13863,0.063684,ADA/BTC,-869.9864279999999
2019-05-08 07:45:00-04:00,2930,0.295336,XRP/BTC,870.0928
2019-05-08 07:45:00-04:00,0,0.063684,ADA/BTC,0.0
2019-05-08 07:45:00-04:00,182,4.79196,EOS/BTC,873.0867600000001
2019-05-09 06:00:00-04:00,-13993,0.06450224,ADA/BTC,-902.57984432
2019-05-09 06:00:00-04:00,3038,0.29705929000000003,XRP/BTC,902.46612302
2019-05-09 06:10:00-04:00,-184,4.959772500000001,EOS/BTC,-912.5981400000001
2019-05-09 06:10:00-04:00,8,0.29873908,XRP/BTC,2.38991264
2019-05-09 06:30:00-04:00,13993,0.0641556,ADA/BTC,903.62987904
2019-05-09 06:30:00-04:00,-3046,0.29824824,XRP/BTC,-903.50988096
2019-05-09 09:10:00-04:00,14381,0.06293462,ADA/BTC,905.06277022
2019-05-09 09:10:00-04:00,-3042,0.29759688,XRP/BTC,-905.28970896
2019-05-09 09:10:00-04:00,14381,0.06293462,ADA/BTC,905.06277022
2019-05-09 09:10:00-04:00,-1,4.917106599999999,EOS/BTC,-4.917106599999999
2019-05-09 10:55:00-04:00,185,4.8599862,EOS/BTC,910.2677469999999
2019-05-09 10:55:00-04:00,3042,0.295862,XRP/BTC,905.8898347200001
2019-05-09 13:05:00-04:00,-28762,0.06268995,ADA/BTC,-1817.0252566200002
2019-05-09 13:05:00-04:00,0,4.8528684,EOS/BTC,0.0
2019-05-09 13:35:00-04:00,0,0.063016935,ADA/BTC,0.0
2019-05-09 13:35:00-04:00,0,0.296803105,XRP/BTC,0.0
2019-05-09 23:20:00-04:00,0,0.05964659,ADA/BTC,0.0
2019-05-10 06:00:00-04:00,198,4.6255616,EOS/BTC,915.8611968
2019-05-10 06:00:00-04:00,-3158,0.29031999999999997,XRP/BTC,-916.8305599999999
2019-05-10 08:15:00-04:00,-198,4.714664,EOS/BTC,-939.4620047999999
2019-05-10 08:15:00-04:00,3158,0.290215155,XRP/BTC,940.4563474999999
