datetime,bitmex-XRP/BTC-position-in-USD,bitmex-EOS/BTC-position-in-USD,bitmex-ADA/BTC-position-in-USD,cash
2019-05-02 15:45:00-04:00,0.0,0.0,0.0,0.9460255045738714
2019-05-02 15:50:00-04:00,0.0,0.0,0.0,0.9460255045738714
2019-05-02 15:55:00-04:00,0.0,0.0,0.0,0.9460255045738714
2019-05-02 16:00:00-04:00,0.0,0.0,0.0,0.9460255045738714
2019-05-02 16:05:00-04:00,0.0,0.0,0.0,0.9460255045738714
2019-05-02 16:10:00-04:00,0.0,0.0,0.0,0.9460255045738714
2019-05-02 16:15:00-04:00,0.0,0.0,0.0,0.9460255045738714
2019-05-02 16:20:00-04:00,0.0,0.0,0.0,0.9460255045738714
2019-05-02 16:25:00-04:00,0.0,0.0,0.0,0.9460255045738714
2019-05-02 16:30:00-04:00,0.0,0.0,0.0,0.9460255045738714
2019-05-02 16:35:00-04:00,0.0,0.0,0.0,0.9460255045738714
2019-05-02 16:40:00-04:00,0.0,0.0,0.0,0.9460255045738714
2019-05-02 16:45:00-04:00,0.0,0.0,0.0,0.9460255045738714
2019-05-02 16:50:00-04:00,0.0,0.0,0.0,0.9460255045738714
2019-05-02 16:55:00-04:00,0.0,0.0,0.0,0.9460255045738714
2019-05-02 17:00:00-04:00,0.0,0.0,0.0,0.9460255045738714
2019-05-02 17:05:00-04:00,0.0,0.0,0.0,0.9460255045738714
2019-05-02 17:10:00-04:00,0.0,0.0,0.0,0.9460255045738714
2019-05-02 17:15:00-04:00,0.0,0.0,0.0,0.9460255045738714
2019-05-02 17:20:00-04:00,0.0,0.0,0.0,0.9460255045738714
2019-05-02 17:25:00-04:00,0.0,0.0,0.0,0.9460255045738714
2019-05-02 17:30:00-04:00,0.0,0.0,0.0,0.9460255045738714
2019-05-02 17:35:00-04:00,0.0,0.0,0.0,0.9460255045738714
2019-05-02 17:40:00-04:00,0.0,0.0,0.0,0.9460255045738714
2019-05-02 17:45:00-04:00,0.0,0.0,0.0,0.9460255045738714
2019-05-02 17:50:00-04:00,0.0,0.0,0.0,0.9460255045738714
2019-05-02 17:55:00-04:00,0.0,0.0,0.0,0.9460255045738714
2019-05-02 18:00:00-04:00,0.0,0.0,0.0,0.9460255045738714
2019-05-02 18:05:00-04:00,0.0,0.0,0.0,0.9460255045738714
2019-05-02 18:10:00-04:00,0.0,0.0,0.0,0.9460255045738714
2019-05-02 18:15:00-04:00,0.0,0.0,0.0,0.9460255045738714
2019-05-02 18:20:00-04:00,-802.99727452,1605.891245,-802.05705804,0.3456872082888713
2019-05-02 18:25:00-04:00,-800.3808198400001,1605.36432,-800.3366784,0.3456872082888713
2019-05-02 18:30:00-04:00,-800.09203008,1605.17728,-800.9718662399999,0.3456872082888713
2019-05-02 18:35:00-04:00,-800.25739248,1606.7531199999999,-800.9357328,0.3456872082888713
2019-05-02 18:40:00-04:00,-799.81880384,1606.6398250000002,-800.7859692,0.3456872082888713
2019-05-02 18:45:00-04:00,-799.7979443999999,1605.9989399999997,-798.91677684,0.3456872082888713
2019-05-02 18:50:00-04:00,-801.83595492,1607.4620100000002,-799.36535448,0.3456872082888713
2019-05-02 18:55:00-04:00,-801.5525151200001,1608.32413,-799.51488036,0.3456872082888713
2019-05-02 19:00:00-04:00,-803.44629288,1617.0416149999999,-802.61956299,0.3456872082888713
2019-05-02 19:05:00-04:00,-800.398599,1618.617,-800.557758,0.3456872082888713
2019-05-02 19:10:00-04:00,0.0,0.0,-799.47286335,0.7966712521488712
2019-05-02 19:15:00-04:00,0.0,0.0,-799.02535545,0.7966712521488712
2019-05-02 19:20:00-04:00,0.0,0.0,-799.547448,0.7966712521488712
2019-05-02 19:25:00-04:00,0.0,0.0,-799.58108538,0.7966712521488712
2019-05-02 19:30:00-04:00,0.0,0.0,-797.71058556,0.7966712521488712
2019-05-02 19:35:00-04:00,0.0,0.0,-799.0923924900001,0.7966712521488712
2019-05-02 19:40:00-04:00,0.0,0.0,-799.86837,0.7966712521488712
2019-05-02 19:45:00-04:00,0.0,0.0,0.0,0.9455955816888713
2019-05-02 19:50:00-04:00,0.0,0.0,0.0,0.9455955816888713
2019-05-02 19:55:00-04:00,0.0,0.0,0.0,0.9455955816888713
2019-05-02 20:00:00-04:00,0.0,0.0,0.0,0.9455955816888713
2019-05-02 20:05:00-04:00,0.0,0.0,0.0,0.9455955816888713
2019-05-02 20:10:00-04:00,0.0,0.0,0.0,0.9455955816888713
2019-05-02 20:15:00-04:00,0.0,0.0,0.0,0.9455955816888713
2019-05-02 20:20:00-04:00,0.0,0.0,0.0,0.9455955816888713
2019-05-02 20:25:00-04:00,0.0,0.0,0.0,0.9455955816888713
2019-05-02 20:30:00-04:00,0.0,0.0,0.0,0.9455955816888713
2019-05-02 20:35:00-04:00,807.3956793599999,0.0,-809.4990468,0.6453800687988712
2019-05-02 20:40:00-04:00,807.61803408,0.0,-809.5741673499999,0.6453800687988712
2019-05-02 20:45:00-04:00,807.9903216,0.0,-807.2328110000001,0.6453800687988712
2019-05-02 20:50:00-04:00,809.09766288,0.0,-806.0242153999999,0.6453800687988712
2019-05-02 20:55:00-04:00,810.3469478400001,0.0,-805.7999252,0.6453800687988712
2019-05-02 21:00:00-04:00,810.363528,0.0,-807.33936075,0.6453800687988712
2019-05-02 21:05:00-04:00,810.5888375999999,0.0,-808.20628285,0.6453800687988712
2019-05-02 21:10:00-04:00,808.23059712,0.0,-807.2204297999999,0.6453800687988712
2019-05-02 21:15:00-04:00,808.8148015200001,0.0,-804.8448465750001,0.6453800687988712
2019-05-02 21:20:00-04:00,809.56882944,0.0,-801.9360384,0.6453800687988712
2019-05-02 21:25:00-04:00,0.0,0.0,0.0,0.9451380939563712
2019-05-02 21:30:00-04:00,0.0,0.0,0.0,0.9451380939563712
2019-05-02 21:35:00-04:00,0.0,0.0,0.0,0.9451380939563712
2019-05-02 21:40:00-04:00,0.0,0.0,0.0,0.9451380939563712
2019-05-02 21:45:00-04:00,0.0,0.0,0.0,0.9451380939563712
2019-05-02 21:50:00-04:00,0.0,0.0,0.0,0.9451380939563712
2019-05-02 21:55:00-04:00,0.0,0.0,0.0,0.9451380939563712
2019-05-02 22:00:00-04:00,0.0,0.0,0.0,0.9451380939563712
2019-05-02 22:05:00-04:00,0.0,0.0,0.0,0.9451380939563712
2019-05-02 22:10:00-04:00,0.0,0.0,0.0,0.9451380939563712
2019-05-02 22:15:00-04:00,0.0,0.0,0.0,0.9451380939563712
2019-05-02 22:20:00-04:00,0.0,0.0,0.0,0.9451380939563712
2019-05-02 22:25:00-04:00,0.0,0.0,0.0,0.9451380939563712
2019-05-02 22:30:00-04:00,0.0,0.0,0.0,0.9451380939563712
2019-05-02 22:35:00-04:00,0.0,0.0,0.0,0.9451380939563712
2019-05-02 22:40:00-04:00,0.0,0.0,0.0,0.9451380939563712
2019-05-02 22:45:00-04:00,0.0,0.0,0.0,0.9451380939563712
2019-05-02 22:50:00-04:00,0.0,0.0,0.0,0.9451380939563712
2019-05-02 22:55:00-04:00,0.0,0.0,0.0,0.9451380939563712
2019-05-02 23:00:00-04:00,0.0,0.0,0.0,0.9451380939563712
2019-05-02 23:05:00-04:00,0.0,0.0,0.0,0.9451380939563712
2019-05-02 23:10:00-04:00,0.0,0.0,0.0,0.9451380939563712
2019-05-02 23:15:00-04:00,0.0,0.0,0.0,0.9451380939563712
2019-05-02 23:20:00-04:00,0.0,0.0,0.0,0.9451380939563712
2019-05-02 23:25:00-04:00,0.0,0.0,0.0,0.9451380939563712
2019-05-02 23:30:00-04:00,0.0,0.0,0.0,0.9451380939563712
2019-05-02 23:35:00-04:00,0.0,0.0,0.0,0.9451380939563712
2019-05-02 23:40:00-04:00,0.0,0.0,0.0,0.9451380939563712
2019-05-02 23:45:00-04:00,0.0,0.0,0.0,0.9451380939563712
2019-05-02 23:50:00-04:00,0.0,0.0,0.0,0.9451380939563712
2019-05-02 23:55:00-04:00,0.0,0.0,0.0,0.9451380939563712
2019-05-03 00:00:00-04:00,0.0,0.0,0.0,0.9451380939563712
2019-05-03 00:05:00-04:00,0.0,0.0,0.0,0.9451380939563712
2019-05-03 00:10:00-04:00,0.0,0.0,0.0,0.9451380939563712
2019-05-03 00:15:00-04:00,0.0,0.0,0.0,0.9451380939563712
2019-05-03 00:20:00-04:00,0.0,0.0,0.0,0.9451380939563712
